,tcu,wcu,tlam,nlam,aln,tsu8,real_or_synthetic
435,2.0,0.0,0.0,1.0,1.0,0.0,Generated samples
436,1.0,1.0,3.0,2.0,1.0,2.0,Generated samples
437,2.0,1.0,1.0,2.0,1.0,0.0,Generated samples
438,2.0,1.0,1.0,0.0,1.0,1.0,Generated samples
439,1.0,0.0,0.0,1.0,0.0,2.0,Generated samples
440,2.0,0.0,1.0,2.0,0.0,0.0,Generated samples
441,2.0,1.0,3.0,2.0,1.0,2.0,Generated samples
442,0.0,0.0,3.0,2.0,0.0,0.0,Generated samples
443,2.0,1.0,2.0,0.0,1.0,0.0,Generated samples
444,2.0,1.0,1.0,2.0,1.0,0.0,Generated samples
445,1.0,0.0,0.0,2.0,1.0,0.0,Generated samples
446,2.0,0.0,0.0,2.0,1.0,0.0,Generated samples
447,2.0,0.0,0.0,2.0,0.0,0.0,Generated samples
448,1.0,0.0,1.0,2.0,1.0,0.0,Generated samples
449,2.0,1.0,2.0,2.0,1.0,0.0,Generated samples
450,2.0,0.0,0.0,2.0,1.0,1.0,Generated samples
451,2.0,1.0,1.0,0.0,0.0,0.0,Generated samples
452,1.0,1.0,2.0,0.0,1.0,0.0,Generated samples
453,1.0,1.0,2.0,0.0,0.0,1.0,Generated samples
454,2.0,1.0,2.0,1.0,0.0,1.0,Generated samples
455,2.0,1.0,0.0,2.0,0.0,0.0,Generated samples
456,1.0,1.0,0.0,2.0,1.0,1.0,Generated samples
457,2.0,1.0,1.0,0.0,1.0,0.0,Generated samples
458,1.0,1.0,2.0,2.0,0.0,0.0,Generated samples
459,0.0,0.0,3.0,0.0,1.0,2.0,Generated samples
460,1.0,1.0,3.0,2.0,0.0,2.0,Generated samples
461,0.0,1.0,1.0,1.0,0.0,0.0,Generated samples
462,0.0,1.0,3.0,0.0,1.0,2.0,Generated samples
463,2.0,0.0,0.0,2.0,0.0,0.0,Generated samples
464,1.0,1.0,2.0,1.0,1.0,2.0,Generated samples
465,1.0,1.0,0.0,0.0,1.0,2.0,Generated samples
466,1.0,1.0,0.0,1.0,0.0,0.0,Generated samples
467,0.0,0.0,2.0,2.0,1.0,0.0,Generated samples
468,2.0,0.0,3.0,2.0,1.0,1.0,Generated samples
469,2.0,0.0,1.0,2.0,1.0,2.0,Generated samples
470,0.0,0.0,2.0,2.0,1.0,2.0,Generated samples
471,1.0,0.0,0.0,0.0,1.0,2.0,Generated samples
472,2.0,1.0,2.0,0.0,1.0,0.0,Generated samples
473,2.0,0.0,2.0,2.0,0.0,1.0,Generated samples
474,2.0,1.0,2.0,1.0,0.0,0.0,Generated samples
475,1.0,1.0,1.0,1.0,1.0,2.0,Generated samples
476,2.0,0.0,3.0,0.0,1.0,1.0,Generated samples
477,0.0,0.0,0.0,0.0,0.0,1.0,Generated samples
478,2.0,1.0,0.0,0.0,1.0,0.0,Generated samples
479,1.0,1.0,0.0,0.0,0.0,1.0,Generated samples
